"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.85049885165888e-281,0.564378204058037,0.982,0.929,1.12012569981359e-276,"0","C12orf57"
4.40895918821537e-279,1.7037367295695,0.303,0.104,1.01816094533458e-274,"0","TMEM204"
5.77395002396868e-279,0.872837660814347,0.732,0.462,1.33337827903509e-274,"0","EMILIN1"
8.25239116033979e-275,0.411755473823443,0.999,0.988,1.90572469065727e-270,"0","MT-CYB"
2.38282029258719e-272,1.22188820450809,0.62,0.385,5.50264690167159e-268,"0","TNS3"
2.27482452542464e-271,1.47120756374617,0.441,0.203,5.25325227656311e-267,"0","PDZRN3"
5.50570952855764e-267,1.55908724416563,0.423,0.193,1.27143350142982e-262,"0","SYT1"
8.91704929428865e-266,2.01992593946176,0.255,0.08,2.05921419353008e-261,"0","ANO1"
6.46031763682381e-263,0.424052683560299,0.999,0.986,1.49188115187172e-258,"0","MT-ATP6"
4.03603124507293e-261,1.12189332185654,0.572,0.313,9.32040695424692e-257,"0","SHISA2"
1.68925423870866e-260,0.84798694795809,0.783,0.604,3.9009948134499e-256,"0","RRBP1"
3.10183270358542e-260,1.61993392253442,0.346,0.137,7.16306226238981e-256,"0","PSD"
5.44963141629426e-260,1.68876493190913,0.32,0.119,1.25848338296483e-255,"0","MIR503HG"
1.15830314643939e-258,1.33262320944879,0.438,0.2,2.67486945607249e-254,"0","CPED1"
7.02542618922553e-257,0.457565566045485,0.998,0.985,1.62238166987785e-252,"0","MT-ND3"
1.16442882793198e-255,1.09761382763725,0.672,0.459,2.68901549234332e-251,"0","TLE1"
1.0621578116361e-254,0.941187988651748,0.705,0.463,2.45284103441125e-250,"0","MMP2"
7.50947104195932e-253,0.681163394065083,0.836,0.635,1.73416214771967e-248,"0","LMO4"
2.37193855808503e-249,0.825679000244855,0.792,0.613,5.47751771218576e-245,"0","MDFI"
8.12834470504219e-249,1.25244340389404,0.437,0.2,1.87707864273539e-244,"0","LIX1"
5.79921784576967e-247,0.580378986492765,0.941,0.825,1.33921337712359e-242,"0","QPRT"
1.76084334996845e-241,0.759262646497689,0.822,0.657,4.06631554808213e-237,"0","MEIS1"
2.27099719257785e-241,0.79844148888556,0.79,0.588,5.24441381682003e-237,"0","CDKN1C"
2.82040347653532e-239,0.390932348774116,0.905,0.682,6.513157748363e-235,"0","MEG3"
5.85858197939454e-237,0.355307767450589,1,0.992,1.35292233650158e-232,"0","MT-CO1"
5.90657808061498e-237,0.7133953018507,0.831,0.644,1.36400607615642e-232,"0","COL6A1"
7.19477829559611e-237,0.739811705626696,0.893,0.761,1.66149015180201e-232,"0","JUND"
