clone.id,cell.barcode
2,23G+10A+3A
2,8K+10A+3A
2,12H+10A+3A
2,12B+10A+3A
2,12N+10A+1A
2,16E+10A+3A
2,18P+10A+3A
2,4C+10A+3A
2,12L+10A+3A
2,13P+10A+3A
2,15O+10A+3A
2,19B+10A+3A
2,3L+10A+3A
2,24H+10A+3A
2,15A+10A+3A
2,4O+10A+3A
2,6M+10A+3A
2,6N+10A+3A
2,2L+10A+1A
2,23K+10A+3A
2,2D+10A+3A
2,14M+10A+3A
2,14L+10A+3A
2,14N+10A+3A
2,24D+10A+3A
2,22O+10A+3A
2,6C+10A+1A
2,20I+10A+1A
2,18K+10A+1A
2,3C+10A+3A
2,23J+10A+3A
2,20D+10A+3A
2,21A+10A+3A
2,15N+10A+3A
2,12I+10A+3A
2,5O+10A+3A
2,19G+10A+1A
2,7I+10A+3A
2,1H+10A+3A
2,18I+10A+1A
2,11O+10A+3A
2,24F+10A+3A
2,11J+10A+3A
2,20E+10A+3A
2,23N+10A+1A
2,19N+10A+3A
2,17O+10A+1A
2,3C+10A+1A
2,23E+10A+3A
2,18A+10A+3A
2,19C+10A+1A
2,22A+10A+3A
2,16J+10A+3A
2,18A+10A+1A
2,7B+10A+1A
2,17P+10A+1A
2,8O+10A+3A
2,7P+10A+3A
2,9H+10A+3A
2,19J+10A+3A
2,21E+10A+3A
2,17M+10A+3A
2,23E+10A+1A
2,11M+10A+3A
2,16M+10A+3A
2,7D+10A+3A
2,13G+10A+1A
2,10K+10A+3A
2,11F+10A+3A
2,13A+10A+3A
2,19A+10A+1A
2,18O+10A+1A
2,1B+10A+3A
2,11I+10A+3A
2,9M+10A+3A
2,21L+10A+3A
2,11N+10A+3A
2,10B+10A+3A
2,22M+10A+3A
2,16H+10A+3A
2,7K+10A+3A
2,1N+10A+3A
2,5B+10A+3A
2,23F+10A+1A
2,4A+10A+3A
2,21B+10A+1A
2,2K+10A+1A
2,2M+10A+1A
2,13J+10A+3A
2,21H+10A+1A
2,24N+10A+3A
2,20P+10A+3A
2,7N+10A+3A
2,22B+10A+3A
2,19H+10A+1A
2,15K+10A+3A
2,21N+10A+3A
2,8P+10A+3A
2,1J+10A+1A
2,6O+10A+3A
2,12M+10A+1A
2,16P+10A+3A
2,2C+10A+3A
2,14C+10A+1A
2,18M+10A+1A
2,16E+10A+1A
2,16N+10A+3A
2,5E+10A+3A
2,10I+10A+3A
