"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HNF1A-AS1",8.60611438942889e-196,1.80027632366556,0.603,0.175,2.02131808664516e-191,"0","HNF1A-AS1"
"FP671120.4",2.08401434031889e-163,1.3544464607689,0.763,0.351,4.89472448110697e-159,"0","FP671120.4"
"SERPINF2",2.9925281156284e-104,1.99209864399841,0.31,0.079,7.02855078517643e-100,"0","SERPINF2"
"RIPPLY3",2.14824496280305e-101,2.21159970534413,0.295,0.075,5.04558294413553e-97,"0","RIPPLY3"
"FOXP1",5.3225824056341e-84,1.05435196035628,0.629,0.323,1.25011492961128e-79,"0","FOXP1"
"TTC3",1.55470100577369e-75,1.21415129717641,0.607,0.346,3.65152625226067e-71,"0","TTC3"
"STOX2",5.90430374087787e-72,1.15231854785818,0.652,0.405,1.38674381961999e-67,"0","STOX2"
"SLCO5A1",2.47022082947622e-65,1.30585320980646,0.414,0.182,5.80180766219081e-61,"0","SLCO5A1"
"H19",4.16695295312509e-65,0.739841245095313,0.686,0.387,9.78692240100491e-61,"0","H19"
"AC097634.4",2.38067540485792e-61,0.99448052387192,0.534,0.283,5.59149232338979e-57,"0","AC097634.4"
"RABL6",5.41028410940421e-61,0.812027887790674,0.776,0.599,1.27071342877577e-56,"0","RABL6"
"CTSB",5.80890697677936e-61,1.25902767032728,0.468,0.241,1.36433798163617e-56,"0","CTSB"
"AC132217.2",4.3871030852034e-56,0.864443871426592,0.497,0.249,1.03039890162172e-51,"0","AC132217.2"
"IGF2",1.98503541014639e-55,0.655786605389711,0.564,0.296,4.66225266781083e-51,"0","IGF2"
"ZBTB16",4.4753012349759e-53,1.68013512657817,0.23,0.078,1.05111400105879e-48,"0","ZBTB16"
"LAMA1",4.2399550308161e-51,1.14957310432282,0.392,0.188,9.95838238087777e-47,"0","LAMA1"
"MAGI1",3.45389148325923e-47,0.772787178259499,0.666,0.472,8.11215492673096e-43,"0","MAGI1"
"NR2F1",4.48317064567339e-45,1.82370195653917,0.164,0.048,1.05296228954931e-40,"0","NR2F1"
"AUTS2",3.53039015969442e-42,0.772177985105102,0.614,0.418,8.29182736807428e-38,"0","AUTS2"
"GSE1",5.52940199015755e-42,0.814388912733194,0.637,0.467,1.2986906454283e-37,"0","GSE1"
"PCAT14",5.62787108823463e-41,1.70851187118127,0.165,0.052,1.32181808249367e-36,"0","PCAT14"
"DUSP9",6.17641524115875e-39,2.67400902378133,0.075,0.012,1.45065464769096e-34,"0","DUSP9"
"APOA1",4.11488145225305e-38,1.8013133480564,0.146,0.044,9.66462206690675e-34,"0","APOA1"
"GPC3",6.80534673303941e-38,0.937586715270528,0.407,0.224,1.59837178718897e-33,"0","GPC3"
"ZFPM1",6.90329209193565e-37,1.25031543257939,0.298,0.144,1.62137621363293e-32,"0","ZFPM1"
"GATA4",1.33513337339387e-36,1.09065757296615,0.312,0.152,3.13582775409019e-32,"0","GATA4"
"DHRS3",1.3823168068761e-36,1.30195744946813,0.236,0.1,3.2466474843099e-32,"0","DHRS3"
"NRXN3",1.28720342482177e-35,0.836906758329669,0.464,0.28,3.02325468387888e-31,"0","NRXN3"
"IGFBP6",1.52084779404289e-35,2.21252957649517,0.102,0.024,3.57201521386854e-31,"0","IGFBP6"
"SCN7A",1.64049094717925e-35,1.55129533534793,0.177,0.064,3.85302108763991e-31,"0","SCN7A"
"CLIC5",3.72814873751732e-35,1.6522544711408,0.147,0.047,8.75630293980694e-31,"0","CLIC5"
"FTCD",4.94304023869948e-35,1.43654128198278,0.194,0.075,1.16097186086335e-30,"0","FTCD"
"NEDD4L",9.19009319281211e-35,0.85099354716087,0.447,0.269,2.15847718819578e-30,"0","NEDD4L"
"PDE11A",1.58059114782117e-33,1.92465970515929,0.129,0.039,3.71233442888758e-29,"0","PDE11A"
"FN1",3.76720653630481e-33,1.05215514560822,0.277,0.133,8.8480379918191e-29,"0","FN1"
"KIF12",2.72482956107925e-31,1.82069946837765,0.112,0.032,6.39980719010683e-27,"0","KIF12"
"RPH3AL",3.4223071007463e-31,1.14430302845311,0.254,0.121,8.03797268752284e-27,"0","RPH3AL"
"DENND2C",1.50986757899141e-29,1.51661670090585,0.142,0.05,3.54622598277713e-25,"0","DENND2C"
"LINC00511",4.09081886170685e-29,1.10108158798052,0.236,0.111,9.60810626049089e-25,"0","LINC00511"
"DOK6",8.56965079130059e-29,1.0159389747869,0.293,0.154,2.01275388135277e-24,"0","DOK6"
"YPEL1",9.59647977701312e-28,0.923540192884862,0.371,0.224,2.25392520522707e-23,"0","YPEL1"
"ONECUT2",1.89408304768142e-27,1.52588340062436,0.131,0.046,4.44863285408935e-23,"0","ONECUT2"
"MEGF6",3.3734363615262e-27,0.99356621420594,0.333,0.193,7.92318998231659e-23,"0","MEGF6"
"ZNF609",9.05079973037766e-26,0.612977329618311,0.666,0.563,2.1257613326738e-21,"0","ZNF609"
"RXRA",3.89693259204718e-25,1.03285198360756,0.298,0.169,9.1527255789412e-21,"0","RXRA"
"ILF3",5.98973659968809e-25,0.583439009532897,0.683,0.581,1.40680943516874e-20,"0","ILF3"
"SLC4A4",9.08020491600785e-25,0.871019294285123,0.235,0.116,2.13266772862276e-20,"0","SLC4A4"
"HNF1B",1.31325374202707e-24,1.71981271339445,0.102,0.033,3.08443906389898e-20,"0","HNF1B"
"CDH18",3.31875128850158e-24,1.05960697649712,0.218,0.107,7.79475115130367e-20,"0","CDH18"
"CNNM2",9.24224453428648e-24,0.95166899337528,0.268,0.146,2.17072597376787e-19,"0","CNNM2"
"SPOCK2",1.46332330075634e-23,1.81151254753126,0.084,0.024,3.43690743648641e-19,"0","SPOCK2"
"FRMD4B",8.40923693876501e-23,0.98979509639046,0.223,0.113,1.97507747980774e-18,"0","FRMD4B"
"LAMB1",1.0793508211517e-22,0.747179581119476,0.359,0.222,2.53507127363901e-18,"0","LAMB1"
"ZNF846",2.02532944592902e-22,1.05308964528376,0.24,0.128,4.75689126965348e-18,"0","ZNF846"
"TTR",2.46020529820733e-22,1.89423034607615,0.073,0.02,5.77828418389957e-18,"0","TTR"
"RFX6",2.91932549826719e-21,1.64397019739994,0.086,0.027,6.85661979778014e-17,"0","RFX6"
"PCDH7",3.90945328265113e-21,0.737631663672426,0.375,0.242,9.1821329249627e-17,"0","PCDH7"
"ZFPM2",9.92228646146701e-21,1.04006073663983,0.202,0.103,2.33044742120476e-16,"0","ZFPM2"
"MID1",1.09039092189181e-20,0.901876575183924,0.281,0.165,2.56100115824729e-16,"0","MID1"
"MEF2C",3.45744475990439e-20,1.62892113425279,0.101,0.037,8.12050050758743e-16,"0","MEF2C"
"AC069444.2",5.67869727599989e-20,1.91254886769437,0.064,0.017,1.33375562921409e-15,"0","AC069444.2"
"APOA2",5.74315113448587e-20,2.35208092889396,0.045,0.009,1.3488939069567e-15,"0","APOA2"
"LINC00261",9.43625351364264e-20,1.39330359162048,0.119,0.048,2.21629286274925e-15,"0","LINC00261"
"MALAT1",9.92088500337726e-20,0.171564301305997,0.998,0.997,2.33011826074322e-15,"0","MALAT1"
"LINC02381",1.71202330825848e-19,1.17284125117511,0.171,0.083,4.0210291441067e-15,"0","LINC02381"
"SPTLC3",2.26051671448018e-19,1.26026022047105,0.138,0.06,5.30927560729961e-15,"0","SPTLC3"
"GHR",3.67547592208072e-19,1.1092244049978,0.154,0.072,8.63259029819098e-15,"0","GHR"
"ATP9A",3.94544849880175e-19,1.12686798849514,0.174,0.086,9.26667488913568e-15,"0","ATP9A"
"SMAD9",7.21926390645868e-19,1.64720896443761,0.084,0.029,1.69558851370995e-14,"0","SMAD9"
"CFAP91",8.61035626232722e-19,1.88711820428344,0.062,0.017,2.02231437533279e-14,"0","CFAP91"
"SOX4",8.95935887846919e-19,0.363853291570969,0.824,0.76,2.10428461978606e-14,"0","SOX4"
"PTPRT",1.91662788962497e-18,0.721168842312311,0.272,0.159,4.50158392436218e-14,"0","PTPRT"
"CMTM8",3.07894942591844e-18,0.974640216272771,0.231,0.132,7.23152851665465e-14,"0","CMTM8"
"ZNF254",5.78651410894141e-18,0.75329227330579,0.33,0.213,1.35907856876707e-13,"0","ZNF254"
"WWOX",9.32885995578976e-18,0.4347855792186,0.69,0.575,2.19106933781634e-13,"0","WWOX"
"ADAMTS12",9.37353202368915e-18,1.07464137366948,0.16,0.078,2.20156146640387e-13,"0","ADAMTS12"
"HNF4A",1.04612037615425e-17,1.35759793386153,0.108,0.044,2.45702292747348e-13,"0","HNF4A"
"AC073050.1",1.15377599010628e-17,0.786160876063984,0.315,0.203,2.70987366796263e-13,"0","AC073050.1"
"EPHA6",3.47199565875207e-17,0.904799416101683,0.209,0.116,8.15467620371099e-13,"0","EPHA6"
"DPP6",4.06730110844871e-17,0.965749801180934,0.252,0.152,9.55287011341348e-13,"0","DPP6"
"CNKSR2",5.91222229084148e-17,1.21267787222855,0.119,0.052,1.38860364944994e-12,"0","CNKSR2"
"NR2F1-AS1",1.70906982414136e-16,1.47761181097782,0.086,0.032,4.01409229596081e-12,"0","NR2F1-AS1"
"ATF7IP2",3.22199320774339e-16,0.69540965823702,0.302,0.194,7.5674954470269e-12,"0","ATF7IP2"
"ACAP3",3.41627568419063e-16,0.909858600288889,0.193,0.106,8.02380669945854e-12,"0","ACAP3"
"TTC6",4.99296348556425e-16,0.895173711672212,0.178,0.094,1.17269733385448e-11,"0","TTC6"
"HFM1",5.13000387505684e-16,0.935515959868525,0.175,0.093,1.2048840101346e-11,"0","HFM1"
"IHH",9.87477783659232e-16,2.17150868325214,0.04,0.009,2.31928907048044e-11,"0","IHH"
"FLRT2",1.00187621624371e-15,0.969709618535441,0.163,0.084,2.3531066690916e-11,"0","FLRT2"
"ROBO2",1.06503988177129e-15,0.387231384031728,0.544,0.413,2.50145917031623e-11,"0","ROBO2"
"TLCD4",1.24078522376324e-15,1.83987477060812,0.054,0.015,2.91423225505272e-11,"0","TLCD4"
"ZNF611",1.88475143164922e-15,0.6025925010862,0.399,0.286,4.42671568751451e-11,"0","ZNF611"
"BMPR1B",2.27727261963168e-15,1.06009514936404,0.146,0.073,5.34863020172893e-11,"0","BMPR1B"
"CLIP1",6.50779032393526e-15,0.52701041918852,0.467,0.354,1.52848471338268e-10,"0","CLIP1"
"HOTAIRM1",7.61256145226789e-15,1.33199668285063,0.091,0.037,1.78796230829416e-10,"0","HOTAIRM1"
"COL4A6",8.65349923596236e-15,0.783739522623292,0.229,0.137,2.03244736555048e-10,"0","COL4A6"
"SEMA3E",1.27725417818824e-14,0.843067281406106,0.196,0.112,2.99988688831071e-10,"0","SEMA3E"
"TNRC18",1.29197099544713e-14,0.453516925488321,0.576,0.469,3.03445227700667e-10,"0","TNRC18"
"AC244033.2",1.47131787426211e-14,1.57949142499704,0.063,0.021,3.45568429127942e-10,"0","AC244033.2"
"METRN",3.80050619792538e-14,1.22888186409629,0.107,0.048,8.92624890706735e-10,"0","METRN"
"AC073896.1",4.15554462285514e-14,0.914675616586665,0.173,0.096,9.76012765569986e-10,"0","AC073896.1"
"RAI1",6.58066243923363e-14,0.702880318367362,0.294,0.196,1.5456001871028e-09,"0","RAI1"
"SLC29A4",7.06062243346452e-14,1.17114293472923,0.102,0.046,1.65832839094781e-09,"0","SLC29A4"
"CHST3",8.50680731666258e-14,1.42780825505721,0.075,0.029,1.99799383446454e-09,"0","CHST3"
"KCNH7",1.59907780939595e-13,0.526804098839096,0.23,0.138,3.75575405092827e-09,"0","KCNH7"
"AL645608.6",1.82804481670646e-13,1.05033071594423,0.122,0.06,4.29352886099846e-09,"0","AL645608.6"
"SGK3",1.83164021869776e-13,1.35208092889396,0.075,0.029,4.30197338165542e-09,"0","SGK3"
"SMAD6",2.00727333805969e-13,0.911508337507981,0.17,0.096,4.71448288910079e-09,"0","SMAD6"
"MYL7",2.64877280426383e-13,2.4675581463139,0.03,0.006,6.22117268537446e-09,"0","MYL7"
"AKAP12",2.78356547127535e-13,0.613999129611427,0.416,0.314,6.53776022238441e-09,"0","AKAP12"
"PIP5K1A",2.90964724884634e-13,0.621725632848583,0.37,0.269,6.83388849336541e-09,"0","PIP5K1A"
"GTF2IRD2",3.41911854251693e-13,0.974299599273083,0.13,0.066,8.03048372080952e-09,"0","GTF2IRD2"
"AL132780.3",8.16838638654234e-13,0.802919149600653,0.213,0.131,1.9185089106072e-08,"0","AL132780.3"
"ADCY6",8.49969936215357e-13,1.01701173431853,0.129,0.066,1.99632438918901e-08,"0","ADCY6"
"SGIP1",9.50557537461213e-13,1.41348147355811,0.071,0.028,2.23257448823515e-08,"0","SGIP1"
"PLCXD2",1.01789720840189e-12,1.44937813024888,0.062,0.023,2.39073517337353e-08,"0","PLCXD2"
"KAT6B",1.17999818604948e-12,0.609769538742239,0.325,0.229,2.7714617395744e-08,"0","KAT6B"
"PPP6R2",1.45123584524173e-12,0.416082761585918,0.555,0.454,3.40851762971924e-08,"0","PPP6R2"
"DACH1",1.66425956727353e-12,0.926626813669781,0.157,0.088,3.90884644565535e-08,"0","DACH1"
"YAF2",1.67010148742077e-12,0.949495170661375,0.135,0.071,3.92256736350516e-08,"0","YAF2"
"CACNA1D",3.05319320345776e-12,1.06846564563772,0.118,0.06,7.17103487696124e-08,"0","CACNA1D"
"C12orf75",3.79929050884891e-12,1.24210808686883,0.085,0.038,8.92339361813344e-08,"0","C12orf75"
"RTN4RL1",5.14607129156644e-12,0.929319613624442,0.131,0.069,1.20865776425021e-07,"0","RTN4RL1"
"RAB11FIP3",6.58785026597459e-12,0.465451154947774,0.498,0.401,1.54728839196945e-07,"0","RAB11FIP3"
"SULT1A2",6.66927589297869e-12,3.21457740514403,0.017,0.002,1.5664128289839e-07,"0","SULT1A2"
"CAV2",6.67702463828758e-12,2.66020322425629,0.022,0.004,1.5682327767946e-07,"0","CAV2"
"PDGFRA",8.16822457383408e-12,1.29132689781487,0.079,0.034,1.91847090565641e-07,"0","PDGFRA"
"PLPPR3",8.71993156978669e-12,0.660979075332207,0.251,0.165,2.0480503277958e-07,"0","PLPPR3"
"AC105052.4",1.57747586344529e-11,0.467736759260355,0.542,0.442,3.70501756047396e-07,"0","AC105052.4"
"KRT19",1.97176079046945e-11,0.74574477738024,0.17,0.1,4.6310745685756e-07,"0","KRT19"
"CEACAM19",2.43659615514561e-11,1.25943164092829,0.082,0.037,5.72283338959049e-07,"0","CEACAM19"
"MDK",2.61224183702714e-11,0.545240061728984,0.312,0.22,6.13537240262563e-07,"0","MDK"
"GIPR",2.71234554768304e-11,1.53105106993928,0.052,0.019,6.37048598784317e-07,"0","GIPR"
"IGSF11",2.99368831542705e-11,1.20912297505192,0.081,0.036,7.03127574644352e-07,"0","IGSF11"
"EMID1",4.04136532283854e-11,0.933367771471721,0.126,0.068,9.49195473375087e-07,"0","EMID1"
"FLJ12825",4.43295660257001e-11,1.6876839606784,0.044,0.014,1.04116851724562e-06,"0","FLJ12825"
"AC010538.1",5.19433873786029e-11,1.38815018360149,0.068,0.028,1.21999433936125e-06,"0","AC010538.1"
"PKNOX2",5.32129617343544e-11,0.764507214716268,0.158,0.092,1.24981283225478e-06,"0","PKNOX2"
"CXXC4",5.51985764584653e-11,1.109587301501,0.094,0.045,1.29644896527997e-06,"0","CXXC4"
"HLA-DPB1",5.58537529766631e-11,1.62694077012455,0.042,0.013,1.31183709616289e-06,"0","HLA-DPB1"
"ZNF709",5.91022329537808e-11,1.46859493762039,0.052,0.019,1.38813414538545e-06,"0","ZNF709"
"TBX2",6.38647543189494e-11,1.41049761511929,0.055,0.021,1.49999148468917e-06,"0","TBX2"
"LINC02249",8.26609139456826e-11,1.32424672069724,0.066,0.027,1.94145688584225e-06,"0","LINC02249"
"AC010655.4",8.30761585318109e-11,0.965057805784716,0.119,0.064,1.95120973543664e-06,"0","AC010655.4"
"CDH2",8.39463457225425e-11,0.591200436635859,0.264,0.18,1.97164782198536e-06,"0","CDH2"
"AATK",9.28704880628085e-11,1.123456553846,0.086,0.04,2.18124915313118e-06,"0","AATK"
"HABP2",9.9507599935444e-11,1.90956269319301,0.034,0.009,2.33713499968377e-06,"0","HABP2"
"EMC10",1.03155261359285e-10,0.525412531779525,0.434,0.349,2.42280762354553e-06,"0","EMC10"
"DZIP1L",1.07661479700663e-10,1.01647789710952,0.118,0.063,2.52864517372947e-06,"0","DZIP1L"
"PITX1",1.14216231445726e-10,1.7564711839733,0.039,0.012,2.68259662796578e-06,"0","PITX1"
"HOMER3",1.40210299122935e-10,0.959269347850091,0.12,0.065,3.29311929550036e-06,"0","HOMER3"
"TMEM132A",1.42329122581749e-10,1.06364974599469,0.104,0.053,3.34288410207755e-06,"0","TMEM132A"
"MAP4K4",1.61484568269998e-10,0.393000701981921,0.499,0.403,3.79278805495745e-06,"0","MAP4K4"
"TSPAN18",1.7045107580027e-10,0.72149581104701,0.197,0.125,4.00338441732095e-06,"0","TSPAN18"
"EDARADD",1.7795950696696e-10,0.947690673814627,0.118,0.063,4.17973494013298e-06,"0","EDARADD"
"EXPH5",1.81018082804416e-10,0.742995633972633,0.203,0.13,4.25157171082731e-06,"0","EXPH5"
"CCDC125",1.97115004553747e-10,0.79439135832291,0.15,0.087,4.62964011195386e-06,"0","CCDC125"
"TEAD2",2.33536851381216e-10,0.660919024340882,0.254,0.175,5.48508002839062e-06,"0","TEAD2"
"RC3H1",2.79317301891404e-10,0.653907817724816,0.233,0.156,6.56032546952341e-06,"0","RC3H1"
"CCDC183",3.27909122140945e-10,1.46263930404166,0.052,0.02,7.70160155172437e-06,"0","CCDC183"
"TLCD4-RWDD3",3.92490591609066e-10,1.32013803639121,0.06,0.024,9.21842652512213e-06,"0","TLCD4-RWDD3"
"ZFHX3",4.2655279249986e-10,0.38477796671341,0.458,0.362,1.00184454374442e-05,"0","ZFHX3"
"CAMK2D",5.39795290677405e-10,0.662466275764864,0.237,0.161,1.26781719921402e-05,"0","CAMK2D"
"CRTC1",7.12043560556285e-10,0.528212147602579,0.372,0.288,1.67237671067855e-05,"0","CRTC1"
"FAM27C",8.92292484047886e-10,0.686198432789239,0.203,0.133,2.09572735728327e-05,"0","FAM27C"
"COL4A5",9.54142400364092e-10,0.574788934840854,0.286,0.205,2.24099425573514e-05,"0","COL4A5"
"MXD4",1.1224503659128e-09,0.855655102774464,0.17,0.107,2.63629917441939e-05,"0","MXD4"
"PARM1",1.13330458114227e-09,1.55643942740015,0.044,0.016,2.66179246972884e-05,"0","PARM1"
"F2",1.14196803010469e-09,1.56066755070538,0.044,0.016,2.6821403123069e-05,"0","F2"
"NRG2",1.17190711744315e-09,0.987084112114714,0.086,0.042,2.75245824673874e-05,"0","NRG2"
"LINC00862",1.22146594763544e-09,0.802246651576408,0.156,0.095,2.86885707121136e-05,"0","LINC00862"
"TSPYL2",1.45812309687111e-09,0.890568999815618,0.111,0.06,3.42469371762118e-05,"0","TSPYL2"
"VIL1",1.59302228183672e-09,1.21291818122234,0.067,0.03,3.74153143334991e-05,"0","VIL1"
"C8orf44-SGK3",1.89465481034718e-09,0.957396491571286,0.099,0.052,4.44997575306243e-05,"0","C8orf44-SGK3"
"NHS",1.92317822623277e-09,0.49841527225232,0.245,0.168,4.51696869995291e-05,"0","NHS"
"PLEKHO1",1.99935487690487e-09,0.978863605309746,0.093,0.047,4.69588479938647e-05,"0","PLEKHO1"
"AFP",2.15080113528463e-09,1.55739983687147,0.041,0.014,5.05158662644301e-05,"0","AFP"
"LINC01341",2.51268802657177e-09,1.82483392602909,0.03,0.009,5.90155036800913e-05,"0","LINC01341"
"HNF4G",3.11720281738819e-09,1.34166431294862,0.058,0.024,7.32137425719963e-05,"0","HNF4G"
"PCLAF",3.66789385428236e-09,0.672006670870178,0.183,0.118,8.61478229555298e-05,"0","PCLAF"
"HS3ST3A1",3.78162754861147e-09,0.998443974279262,0.096,0.051,8.88190862342375e-05,"0","HS3ST3A1"
"FAM181B",3.96279530126744e-09,1.62961490442287,0.035,0.011,9.30741732408684e-05,"0","FAM181B"
"FGFR4",4.93861568871281e-09,1.41796886455042,0.048,0.019,0.000115993266680798,"0","FGFR4"
"GTF2IRD2B",5.188786071556e-09,0.790482421238317,0.137,0.081,0.000121869018462636,"0","GTF2IRD2B"
"IDH2",5.30745540914703e-09,1.08460061802898,0.073,0.034,0.000124656205194636,"0","IDH2"
"HIPK2",5.42187760982748e-09,0.497808276946307,0.361,0.277,0.000127343639422018,"0","HIPK2"
"FSCN1",5.75579939086394e-09,0.666099263446562,0.181,0.117,0.000135186460293221,"0","FSCN1"
"CADM4",6.12652785408544e-09,1.0125944626223,0.085,0.043,0.000143893759708905,"0","CADM4"
"CTD-3080P12.3",6.85233385027332e-09,1.82156621219518,0.03,0.009,0.00016094076514137,"0","CTD-3080P12.3"
"ADD3",8.45654563013378e-09,0.607919833323553,0.212,0.144,0.000198618887214952,"0","ADD3"
"PLEKHA6",8.66372321971365e-09,0.738263565500621,0.14,0.085,0.000203484867261415,"0","PLEKHA6"
"AC004951.4",1.0783264839089e-08,0.61447141816233,0.197,0.132,0.000253266541275683,"0","AC004951.4"
"PDE3B",1.09664654485847e-08,0.570471419672914,0.246,0.173,0.000257569373990908,"0","PDE3B"
"FP700111.1",1.10914573421984e-08,0.893682389456476,0.107,0.059,0.000260505058596214,"0","FP700111.1"
"EPHB4",1.24548963142029e-08,0.738549275976036,0.13,0.077,0.000292528149731684,"0","EPHB4"
"ABTB2",1.24671355448312e-08,0.821274198219712,0.146,0.09,0.00029281561254145,"0","ABTB2"
"BAALC",1.33745165973423e-08,1.46889459387671,0.039,0.014,0.000314127271321778,"0","BAALC"
"TRABD2B",1.53941612549072e-08,0.55037502661338,0.245,0.174,0.000361562665394006,"0","TRABD2B"
"DPYD",1.60233905303989e-08,0.842219883413525,0.115,0.066,0.00037634137338748,"0","DPYD"
"RANBP10",1.74907280626227e-08,0.673296405816286,0.199,0.135,0.00041080473000682,"0","RANBP10"
"ALPK3",1.75976369947501e-08,0.971476926678994,0.091,0.048,0.000413315700095695,"0","ALPK3"
"LGALS3",1.95503923815601e-08,2.35208092889396,0.017,0.003,0.000459180065865702,"0","LGALS3"
"AMOT",1.96592872363147e-08,0.779829479922361,0.128,0.076,0.000461737679319323,"0","AMOT"
"AP001636.3",2.00898058157191e-08,1.04502611048813,0.071,0.034,0.000471849269193794,"0","AP001636.3"
"UHRF1",2.19913694258217e-08,0.918622232794431,0.093,0.05,0.000516511293704275,"0","UHRF1"
"AC009093.11",2.43166489857115e-08,0.500373248554753,0.372,0.291,0.000571125134727405,"0","AC009093.11"
"MEIS2",2.43289744705616e-08,0.38221847695653,0.343,0.259,0.000571414623390081,"0","MEIS2"
"CSPP1",2.53887765579212e-08,0.533791844713986,0.263,0.19,0.000596306195015896,"0","CSPP1"
"VWA5B2",2.64579850649641e-08,2.79953990586518,0.013,0.002,0.000621418695220813,"0","VWA5B2"
"ERF",3.0658738543766e-08,0.769665110283153,0.152,0.096,0.000720081792177432,"0","ERF"
"MBD3",3.23010884125687e-08,0.413857126480653,0.369,0.287,0.000758655663546001,"0","MBD3"
"AC130462.2",3.63561416839746e-08,1.87403363208932,0.025,0.007,0.000853896699731512,"0","AC130462.2"
"VCAN",3.72920475378325e-08,0.571516307723894,0.214,0.148,0.000875878320521072,"0","VCAN"
"AC027601.5",4.44547831739046e-08,0.99712403361913,0.083,0.043,0.0010441094924055,"0","AC027601.5"
"CREB3L3",4.57177280330657e-08,2.43454308908594,0.016,0.003,0.00107377227831262,"0","CREB3L3"
"C10orf82",4.62077675872129e-08,2.35208092889396,0.017,0.003,0.00108528183732087,"0","C10orf82"
"ZC4H2",4.62786450572227e-08,0.452731546799721,0.405,0.329,0.00108694653645899,"0","ZC4H2"
"LMNA",4.78579546918379e-08,0.550409645339941,0.253,0.184,0.0011240397818472,"0","LMNA"
"SMARCA4",4.88670464622459e-08,0.284797863835174,0.669,0.609,0.00114774032025877,"0","SMARCA4"
"GUCY1A2",4.94544834151637e-08,0.708224739119238,0.126,0.075,0.00116153745197195,"0","GUCY1A2"
"FAM193A",5.03307813131462e-08,0.429580496828477,0.465,0.39,0.00118211906070187,"0","FAM193A"
"PPAN-P2RY11",5.35046273589884e-08,1.70822473911924,0.028,0.009,0.00125666318278056,"0","PPAN-P2RY11"
"HUNK",5.37924794210158e-08,0.744663577345111,0.14,0.087,0.0012634239641614,"0","HUNK"
"VAT1L",5.4793742777684e-08,0.931749129945606,0.088,0.047,0.00128694063661946,"0","VAT1L"
"ALCAM",5.67780902041708e-08,0.568803162739046,0.237,0.169,0.00133354700462536,"0","ALCAM"
"SLC44A5",5.77531659155824e-08,0.834602024888794,0.106,0.06,0.00135644860785928,"0","SLC44A5"
"ADAMTS19",5.88409439647146e-08,0.512671518175737,0.259,0.189,0.00138199725089925,"0","ADAMTS19"
"HBE1",7.54265225299755e-08,1.44284639281715,0.037,0.013,0.00177154273466154,"0","HBE1"
"DPEP1",7.5759045936266e-08,1.43269938910225,0.039,0.015,0.00177935271190508,"0","DPEP1"
"POLR2J4",7.71625927296692e-08,0.575003071198686,0.197,0.135,0.00181231781544174,"0","POLR2J4"
"KIF13B",8.18165983710704e-08,0.657493936998308,0.158,0.102,0.00192162644594133,"0","KIF13B"
"B4GALNT4",9.58337320129816e-08,0.707529631883007,0.141,0.089,0.0022508468637889,"0","B4GALNT4"
"IER5L",9.6118996694129e-08,0.929389857071684,0.082,0.043,0.00225754687535501,"0","IER5L"
"ARHGAP26",9.66137653517103e-08,0.532653174535783,0.223,0.157,0.00226916750681562,"0","ARHGAP26"
"PRICKLE1",9.72321424130692e-08,0.676448069232742,0.152,0.097,0.00228369132885576,"0","PRICKLE1"
"COL2A1",9.82161176957278e-08,1.12968850755751,0.06,0.028,0.00230680195631956,"0","COL2A1"
"LIPC",1.06841369987411e-07,1.35208092889396,0.04,0.016,0.00250938325689432,"0","LIPC"
"NBPF20",1.06890345459301e-07,0.855066127448509,0.105,0.061,0.00251053354380261,"0","NBPF20"
"STOX1",1.13039736465547e-07,1.05662504536779,0.068,0.034,0.00265496429036629,"0","STOX1"
"SLC6A16",1.2129698606566e-07,1.20270330485574,0.05,0.022,0.00284890231172416,"0","SLC6A16"
"AC092647.5",1.21696825780533e-07,1.1732777761052,0.06,0.028,0.00285829334710737,"0","AC092647.5"
"ZNF433-AS1",1.24308922260757e-07,1.11812375592459,0.062,0.029,0.0029196436571384,"0","ZNF433-AS1"
"FOXA2",1.27065888867226e-07,1.07595652361973,0.058,0.027,0.00298439653182454,"0","FOXA2"
"CEP131",1.30421660332845e-07,0.629016151544019,0.182,0.123,0.00306321353623753,"0","CEP131"
"AC068279.2",1.35964049502282e-07,1.90847427741835,0.022,0.006,0.00319338763066011,"0","AC068279.2"
"PBX1",1.49121468330804e-07,0.32049458583613,0.478,0.397,0.00350241592668559,"0","PBX1"
"CCER2",1.50976789612534e-07,1.4242307146498,0.037,0.014,0.00354599185762959,"0","CCER2"
"ARL15",1.61090781432347e-07,0.553267743102161,0.325,0.256,0.00378353918350154,"0","ARL15"
"ULK1",1.61178788083272e-07,0.615745470156376,0.189,0.13,0.00378560619571181,"0","ULK1"
"KHDRBS2",1.61669139190001e-07,0.307930158619478,0.38,0.296,0.00379712307215555,"0","KHDRBS2"
"MIR31HG",1.65282075859047e-07,0.633925184502515,0.159,0.104,0.00388198011570143,"0","MIR31HG"
"FAM155A",1.8048735977093e-07,0.460405152397902,0.281,0.21,0.00423910661893984,"0","FAM155A"
"NR5A2",2.26830301841412e-07,0.711623315581103,0.117,0.071,0.00532756329934924,"0","NR5A2"
"SBK1",2.43777574086099e-07,0.47907387853735,0.28,0.212,0.00572560388256021,"0","SBK1"
"RGS12",2.5375958123622e-07,0.683460499125897,0.163,0.109,0.00596005128449509,"0","RGS12"
