"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KCNK10",0.000425177857162936,2.96478685840658,0.058,0.009,1,"12","KCNK10"
"LINC01169",0.000425177857162936,2.96478685840658,0.058,0.009,1,"12","LINC01169"
"AC091117.2",0.000425349058743034,5.81722966999272,0.019,0.001,1,"12","AC091117.2"
"LINC01787",0.00043268087245997,3.61792086176931,0.038,0.005,1,"12","LINC01787"
"TADA2B1",0.00043268087245997,3.61792086176931,0.038,0.005,1,"12","TADA2B"
"TMPRSS11A",0.00043268087245997,3.61792086176931,0.038,0.005,1,"12","TMPRSS11A"
"BIN2",0.00043268087245997,3.61792086176931,0.038,0.005,1,"12","BIN2"
"AC012464.1",0.00043268087245997,3.61792086176931,0.038,0.005,1,"12","AC012464.1"
"AC092718.3",0.00043268087245997,3.61792086176931,0.038,0.005,1,"12","AC092718.3"
"LINC009061",0.00043268087245997,3.61792086176931,0.038,0.005,1,"12","LINC00906"
"FUT2",0.00043268087245997,3.61792086176931,0.038,0.005,1,"12","FUT2"
"LINC01788",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","LINC01788"
"CR21",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","CR2"
"HGD",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","HGD"
"ADIPOQ",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","ADIPOQ"
"AC124017.1",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","AC124017.1"
"AC131944.1",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","AC131944.1"
"ASIC5",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","ASIC5"
"MIR4458HG",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","MIR4458HG"
"PCDHA4",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","PCDHA4"
"AC010609.11",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","AC010609.1"
"COL10A1",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","COL10A1"
"LINC01007",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","LINC01007"
"LINC02154",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","LINC02154"
"AL136084.11",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","AL136084.1"
"ST6GALNAC42",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","ST6GALNAC4"
"LINC02712",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","LINC02712"
"AL354810.1",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","AL354810.1"
"LINC00373",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","LINC00373"
"AL132633.1",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","AL132633.1"
"LINC01584",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","LINC01584"
"IGBP1P2",0.000432720405318402,4.81722966999272,0.019,0.001,1,"12","IGBP1P2"
